College,"Increase, % (yearly average, 2018-21)"
Allan Hancock Joint,2.1
Antelope Valley,1.5
Barstow,2.3
Butte,4.2
Cabrillo,2.6
Cerritos,2.0
Chabot-Las Positas,2.3
Chaffey,4.8
Citrus,1.8
Coast,3.3
Compton,1.4
Contra Costa,2.3
Copper Mountain,1.5
Desert,2.8
El Camino,2.5
Feather River,3.7
Foothill-DeAnza,1.5
Gavilan,1.2
Glendale,2.8
Grossmont-Cuyamaca,5.4
Hartnell,2.4
Imperial,5.8
Kern,2.9
Lake Tahoe,0.6
Lassen,3.2
Long Beach,1.9
Los Angeles,2.8
Los Rios,1.9
Marin,5.2
Mendocino-Lake,2.1
Merced,2.1
Mira Costa,2.5
Monterey Peninsula,3.5
Mt. San Antonio,2.1
Mt. San Jacinto,2.8
Napa Valley,1.3
North Orange County,3.4
Ohlone,2.8
Palo Verde,4.2
Palomar,2.8
Pasadena Area,3.2
Peralta,1.8
Rancho Santiago,4.4
Redwoods,3.2
Rio Hondo,3.5
Riverside,4.3
San Bernardino,7.3
San Diego,1.2
San Francisco,3.1
San Joaquin Delta,2.7
San Jose/Evergreen,5.1
San Luis Obispo County,3.5
San Mateo County,3.5
Santa Barbara,1.8
Santa Clarita,3.2
Santa Monica,1.9
Sequoias,4.1
Shasta-Tehama-Trinity Joint,2.5
Sierra Joint,1.8
Siskiyou Joint,1.1
Solano County,3.8
Sonoma County,3.3
South Orange County,2.3
Southwestern,3.7
State Center,2.2
Ventura County,2.5
Victor Valley,1.6
West Hills,1.3
West Kern,2.9
West Valley-Mission,5.0
Yosemite,3.3
Yuba,3.0
Average,2.9
Average (East Bay),2.3
Inflation,2.1
