"Fact","Fact Note","Pleasant Hill city, California","Value Note for Pleasant Hill city, California","San Ramon city, California","Value Note for San Ramon city, California","Brentwood city, California","Value Note for Brentwood city, California","Pittsburg city, California","Value Note for Pittsburg city, California","Alameda city, California","Value Note for Alameda city, California","Oakland city, California","Value Note for Oakland city, California"
"Population Estimates, July 1, 2022, (V2022)","","33,913","","85,953","","66,127","","77,572","","76,040","","430,553",""
"Population estimates base, April 1, 2020, (V2022)","","34,629","","86,332","","64,290","","76,409","","78,282","","440,660",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2022, (V2022)","","-2.1%","","-0.4%","","2.9%","","1.5%","","-2.9%","","-2.3%",""
"Population, Census, April 1, 2020","","34,613","","84,605","","64,292","","76,416","","78,280","","440,646",""
"Population, Census, April 1, 2010","","33,152","","72,148","","51,481","","63,264","","73,812","","390,724",""
"Persons under 5 years, percent","","5.6%","","5.2%","","3.7%","","6.9%","","6.0%","","6.0%",""
"Persons under 18 years, percent","","20.0%","","28.0%","","26.5%","","22.7%","","21.1%","","19.6%",""
"Persons 65 years and over, percent","","16.9%","","11.2%","","14.3%","","12.6%","","16.8%","","13.5%",""
"Female persons, percent","","51.5%","","50.0%","","52.4%","","50.3%","","51.5%","","51.4%",""
"White alone, percent","","67.5%","","38.9%","","57.1%","","29.7%","","46.2%","","33.4%",""
"Black or African American alone, percent","(a)","3.9%","","3.2%","","9.5%","","13.9%","","6.1%","","22.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%","","0.2%","","0.8%","","1.3%","","0.5%","","1.0%",""
"Asian alone, percent","(a)","14.6%","","47.8%","","12.4%","","18.2%","","31.3%","","15.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.4%","","0.5%","","0.5%","","0.7%","","0.5%","","0.5%",""
"Two or More Races, percent","","9.9%","","7.5%","","11.0%","","14.2%","","10.5%","","9.4%",""
"Hispanic or Latino, percent","(b)","15.5%","","7.9%","","23.9%","","43.9%","","12.4%","","27.2%",""
"White alone, not Hispanic or Latino, percent","","60.5%","","35.9%","","48.5%","","19.2%","","42.1%","","28.6%",""
"Veterans, 2017-2021","","1,103","","1,774","","3,581","","2,349","","2,800","","11,585",""
"Foreign born persons, percent, 2017-2021","","19.5%","","36.5%","","14.9%","","32.2%","","24.7%","","26.6%",""
"Housing units, July 1, 2022, (V2022)","","X","","X","","X","","X","","X","","X",""
"Owner-occupied housing unit rate, 2017-2021","","64.7%","","71.2%","","80.2%","","58.6%","","47.5%","","41.3%",""
"Median value of owner-occupied housing units, 2017-2021","","$828,400","","$1,063,200","","$634,700","","$456,300","","$972,800","","$772,400",""
"Median selected monthly owner costs -with a mortgage, 2017-2021","","$3,144","","$4,000+","","$3,030","","$2,311","","$3,456","","$3,101",""
"Median selected monthly owner costs -without a mortgage, 2017-2021","","$764","","$1,259","","$887","","$576","","$896","","$811",""
"Median gross rent, 2017-2021","","$2,245","","$2,557","","$2,248","","$1,983","","$2,106","","$1,676",""
"Building permits, 2022","","X","","X","","X","","X","","X","","X",""
"Households, 2017-2021","","13,825","","29,084","","20,509","","22,604","","30,500","","167,307",""
"Persons per household, 2017-2021","","2.48","","2.94","","3.09","","3.33","","2.53","","2.58",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","","86.8%","","86.7%","","89.2%","","89.3%","","86.8%","","86.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","","23.8%","","44.1%","","25.5%","","49.6%","","34.0%","","39.4%",""
"Households with a computer, percent, 2017-2021","","94.9%","","98.5%","","97.8%","","94.4%","","96.5%","","93.4%",""
"Households with a broadband Internet subscription, percent, 2017-2021","","93.0%","","96.8%","","96.0%","","91.6%","","93.1%","","88.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2017-2021","","96.0%","","96.5%","","92.7%","","79.3%","","92.4%","","84.7%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","","55.9%","","70.3%","","37.5%","","21.0%","","59.4%","","47.3%",""
"With a disability, under age 65 years, percent, 2017-2021","","6.7%","","3.1%","","8.0%","","9.7%","","5.6%","","7.0%",""
"Persons  without health insurance, under age 65 years, percent","","3.9%","","2.0%","","2.0%","","7.2%","","3.8%","","7.7%",""
"In civilian labor force, total, percent of population age 16 years+, 2017-2021","","66.5%","","68.8%","","64.1%","","64.3%","","67.6%","","68.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2017-2021","","60.1%","","60.2%","","58.0%","","58.7%","","64.3%","","64.2%",""
"Total accommodation and food services sales, 2017 ($1,000)","(c)","183,375","","208,250","","143,125","","104,383","","241,375","","1,292,971",""
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","441,572","","721,456","","138,950","","98,283","","429,677","","5,002,028",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","20,400","","76,398","","8,180","","35,832","","60,404","","5,322,166",""
"Total retail sales, 2017 ($1,000)","(c)","733,028","","666,587","","760,552","","665,187","","654,991","","3,804,334",""
"Total retail sales per capita, 2017","(c)","$20,954","","$8,256","","$12,271","","$9,317","","$8,169","","$9,016",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","33.5","","38.0","","43.8","","40.3","","34.0","","32.3",""
"Median household income (in 2021 dollars), 2017-2021","","$131,012","","$173,519","","$125,152","","$88,343","","$113,339","","$85,628",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$62,226","","$69,572","","$48,657","","$32,796","","$61,380","","$49,970",""
