Namesalary
"Allan Hancock Joint 59,460"
"Antelope Valley58,394"
"Barstow59,268"
"Butte58,628"
"Cabrillo59,000"
"Cerritos70,084"
"Chabot-Las Positas65,137"
"Chaffey68,700"
"Citrus64,661"
"Coast61,997"
"Compton59,503"
"Contra Costa63,192"
"Copper Mountain52,068"
"Desert68,644"
"El Camino68,403"
"Feather River58,490"
"Foothill-DeAnza63,728"
"Gavilan64,109"
"Glendale65,634"
"Grossmont-Cuyamaca54,402"
"Hartnell58,772"
"Imperial58,727"
"Kern77,278"
"Lake Tahoe54,058"
"Lassen60,672"
"Long Beach69,547"
"Los Angeles62,090"
"Los Rios50,262"
"Marin65,616"
"Mendocino-Lake59,056"
"Merced55,018"
"Mira Costa76,826"
"Monterey Peninsula56,299"
"Mt. San Antonio67,622"
"Mt. San Jacinto57,776"
"Napa Valley53,174"
"North Orange County67,137"
"Ohlone68,786"
"Palo Verde59,618"
"Palomar65,762"
"Pasadena Area74,245"
"Peralta42,122"
"Rancho Santiago65,353"
"Redwoods51,271"
"Rio Hondo61,766"
"Riverside68,860"
"San Bernardino68,843"
"San Diego58,838"
"San Francisco63,700"
"San Joaquin Delta59,013"
"San Jose/Evergreen74,878"
"San Luis Obispo County57,057"
"San Mateo County71,328"
"Santa Barbara63,071"
"Santa Clarita64,116"
"Santa Monica55,998"
"Sequoias67,387"
"Shasta-Tehama-Trinity Joint55,590"
"Sierra Joint55,334"
"Siskiyou Joint52,865"
"Solano County53,699"
"Sonoma County72,924"
"South Orange County75,814"
"Southwestern60,127"
"State Center61,261"
"Ventura County52,711"
"Victor Valley55,714"
"West Hills60,665"
"West Kern57,994"
"West Valley-Mission70,406"
"Yosemite61,125"
"Yuba56,772"
