District Rank Rank
"Allan Hancock Joint 60,411 42 71,404 49"
"Antelope Valley 59,562 48 72,923 43"
"Barstow 59,268 50 71,760 48"
"Butte 58,628 53 73,038 42"
"Cabrillo 59,000 51 72,134 46"
"Cerritos 70,084 12 87,142 7"
"Chabot-Las Positas 66,440 22 82,294 16"
"Chaffey 68,700 17 76,700 27"
"Citrus 64,661 27 74,195 36"
"Coast 61,997 34 75,654 32"
"Compton 60,431 41 67,551 61"
"Contra Costa 65,088 26 73,236 41"
"Copper Mountain 52,068 69 64,113 68"
"Desert 68,644 18 84,525 12"
"El Camino 68,403 19 82,386 15"
"Feather River 58,490 55 72,699 45"
"Foothill-DeAnza 63,728 30 79,918 21"
"Gavilan 64,109 29 77,013 26"
"Glendale 65,634 25 78,906 23"
"Grossmont-Cuyamaca161,852 35 70,322 54"
"Hartnell 59,947 46 74,843 33"
"Imperial 59,902 47 69,445 56"
"Kern 77,278 4 87,433 6"
"Lake Tahoe 54,869 65 66,433 66"
"Lassen 60,672 39 76,686 28"
"Long Beach 71,467 9 84,838 11"
"Los Angeles 62,090 33 74,100 38"
"Los Rios 51,229 71 62,328 71"
"Marin 67,800 21 78,720 24"
"Mendocino-Lake 60,237 44 73,652 40"
"Merced 55,018 64 67,511 62"
"Mira Costa 78,555 1 99,140 1"
"Monterey Peninsula 56,299 59 68,377 59"
"Mt. San Antonio 69,827 13 83,764 13"
"Mt. San Jacinto 57,776 57 66,979 65"
"Napa Valley 53,174 67 69,168 58"
"North Orange County 70,830 11 80,003 20"
"Ohlone 71,046 10 85,441 8"
"Palo Verde 60,393 43 70,013 55"
"Palomar 65,762 24 80,122 19"
"Pasadena Area 74,245 6 74,245 35"
"Peralta 42,122 72 55,065 72Masters Degree (Step 1)  and Masters +5 Years (Step 6)"
Salary ($)
"MA no experience,"
Step 1Salary ($)
"MA 5 years experience,"
Step 6
"Full-Time Faculty Salary Comparisons 2020-21         3       CFT – A Union of Educators and Classified Professionals • August 30, 2021"
District Rank RankMasters Degree (Step 1)  and Masters +5 Years (Step 6)
Salary ($)
"MA no experience,"
Step 1Salary ($)
"MA 5 years experience,"
Step 6
"Rancho Santiago 67,967 20 82,537 14"
"Redwoods 51,271 70 62,379 70"
"Rio Hondo 62,384 32 78,203 25"
"Riverside 68,860 14 85,305 9"
"San Bernardino 68,843 15 80,974 18"
"San Diego 58,838 52 67,385 63"
"San Francisco 65,900 23 79,250 22"
"San Joaquin Delta 60,783 38 76,457 30"
"San Jose/Evergreen 74,878 5 89,103 4"
"San Luis Obispo County 57,057 58 70,568 53"
"San Mateo County 77,964 3 96,876 2"
"Santa Barbara 63,071 31 74,142 37"
"Santa Clarita 64,116 28 75,948 31"
"Santa Monica 58,259 56 70,738 51"
"Sequoias 68,735 16 81,331 17"
"Shasta-Tehama-Trinity Joint 55,590 61 69,435 57"
"Sierra Joint 55,334 62 70,622 52"
"Siskiyou Joint 54,451 66 63,431 69"
"Solano County 55,109 63 67,048 64"
"Sonoma County 73,372 8 85,172 10"
"South Orange County 78,028 2 91,717 3"
"Southwestern 60,127 45 72,758 44"
"State Center 61,720 36 76,628 29"
"Ventura County 52,711 68 65,888 67"
"Victor Valley 55,714 60 68,063 60"
"West Hills 60,665 40 71,881 47"
"West Kern 59,340 49 74,778 34"
"West Valley-Mission 73,926 7 87,802 5"
"Yosemite 61,366 37 73,846 39"
"Yuba 58,623 54 70,852 50"
"• Average (Mean) 62,816 75,519"
"• Highest 78,555 99,140"
"• 3rd quartile 68,463 80,335"
"• Median 61,543 74,169"
"• 1st quartile 58,590 70,245"
"• Lowest 42,122 55,065"
1 The first step placement on this report is step 6 on the GCCCD Salary Schedule and all subsequent step placements are from
step 6. Per Local 1931 steps 1-5 on the GCCCD Salary Schedule do not apply.
"Full-Time Faculty Salary Comparisons 2020-21         4       CFT – A Union of Educators and Classified Professionals • August 30, 2021"
