,Name,Salary (2017),Salary (2018),Salary (2019),Salary (2020),Salarly (2021),Average Salary,Inflation (2018),Inflation (2019),Inflation (2020),Inflation (2021),Inflation (2022),Average Salary Raise,Average Salary Raise (2018),Average Salary Raise (2019),Average Salary Raise (2020),Average Salary Raise (2021),Year
0,Allan Hancock Joint,56628,58294,59460,60411,61619,59282,2.0,2.1,2.0,2.3,5.5,2.9,2.9,2.0,1.6,2.0,2018
1,Antelope Valley,56126,56126,58394,59562,59562,57954,2.0,2.1,2.0,2.3,5.5,0.0,0.0,4.0,2.0,0.0,2019
2,Barstow,54324,57397,59268,59268,59268,57905,2.0,2.1,2.0,2.3,5.5,5.7,5.7,3.3,0.0,0.0,2020
3,Butte,54073,56777,58628,58628,63566,58334,2.0,2.1,2.0,2.3,5.5,5.0,5.0,3.3,0.0,8.4,2021
4,Cabrillo,56151,57499,59000,59000,62138,58758,2.0,2.1,2.0,2.3,5.5,2.4,2.4,2.6,0.0,5.3,
5,Cerritos,64818,67871,70084,70084,70084,68588,2.0,2.1,2.0,2.3,5.5,4.7,4.7,3.3,0.0,0.0,
6,Chabot-Las Positas,62035,62035,65137,66440,67769,64683,2.0,2.1,2.0,2.3,5.5,0.0,0.0,5.0,2.0,2.0,
7,Chaffey,59581,66000,68700,68700,71496,66895,2.0,2.1,2.0,2.3,5.5,10.8,10.8,4.1,0.0,4.1,
8,Citrus,61547,63393,64661,64661,65954,64043,2.0,2.1,2.0,2.3,5.5,3.0,3.0,2.0,0.0,2.0,
9,Coast,57335,59463,61997,61997,65141,61187,2.0,2.1,2.0,2.3,5.5,3.7,3.7,4.3,0.0,5.1,
10,Compton,59503,59503,59503,60431,62880,60364,2.0,2.1,2.0,2.3,5.5,0.0,0.0,0.0,1.6,4.1,
11,Contra Costa,59616,59616,63192,65088,65088,62520,2.0,2.1,2.0,2.3,5.5,0.0,0.0,6.0,3.0,0.0,
12,Copper Mountain,50307,52068,52068,52068,53239,51950,2.0,2.1,2.0,2.3,5.5,3.5,3.5,0.0,0.0,2.3,
13,Desert,64723,66477,68644,68644,72125,68123,2.0,2.1,2.0,2.3,5.5,2.7,2.7,3.3,0.0,5.1,
14,El Camino,66598,68403,68403,68403,73328,69027,2.0,2.1,2.0,2.3,5.5,2.7,2.7,0.0,0.0,7.2,
15,Feather River,54041,55949,58490,58490,62377,57869,2.0,2.1,2.0,2.3,5.5,3.5,3.5,4.5,0.0,6.7,
16,Foothill-DeAnza,60121,60121,63728,63728,63728,62285,2.0,2.1,2.0,2.3,5.5,0.0,0.0,6.0,0.0,0.0,
17,Gavilan,61170,62394,64109,64109,64109,63178,2.0,2.1,2.0,2.3,5.5,2.0,2.0,2.8,0.0,0.0,
18,Glendale,61868,64033,65634,65634,68916,65217,2.0,2.1,2.0,2.3,5.5,3.5,3.5,2.5,0.0,5.0,
19,Grossmont-Cuyamaca,51279,52817,54402,61852,63119,56694,2.0,2.1,2.0,2.3,5.5,3.0,3.0,3.0,13.7,2.0,
20,Hartnell,55146,55973,58772,59947,60546,58077,2.0,2.1,2.0,2.3,5.5,1.5,1.5,5.0,2.0,1.0,
21,Imperial,52802,56873,58727,59902,65892,58839,2.0,2.1,2.0,2.3,5.5,7.7,7.7,3.3,2.0,10.0,
22,Kern,71210,73767,77278,77278,79596,75826,2.0,2.1,2.0,2.3,5.5,3.6,3.6,4.8,0.0,3.0,
23,Lake Tahoe,54615,55079,54058,54869,55966,54917,2.0,2.1,2.0,2.3,5.5,0.8,0.9,-1.9,1.5,2.0,
24,Lassen,56328,58757,60672,60672,63748,60035,2.0,2.1,2.0,2.3,5.5,4.3,4.3,3.3,0.0,5.1,
25,Long Beach,67275,68284,69547,71467,72539,69822,2.0,2.1,2.0,2.3,5.5,1.5,1.5,1.9,2.8,1.5,
26,Los Angeles,58550,60130,62090,62090,65250,61622,2.0,2.1,2.0,2.3,5.5,2.7,2.7,3.3,0.0,5.1,
27,Los Rios,49505,46660,50262,51229,53162,50164,2.0,2.1,2.0,2.3,5.5,-5.7,-5.8,7.7,1.9,3.8,
28,Marin,59064,65616,65616,67800,72168,66053,2.0,2.1,2.0,2.3,5.5,11.1,11.1,0.0,3.3,6.4,
29,Mendocino-Lake,56513,56513,59056,60237,61442,58752,2.0,2.1,2.0,2.3,5.5,0.0,0.0,4.5,2.0,2.0,
30,Merced,50868,55018,55018,55018,55018,54188,2.0,2.1,2.0,2.3,5.5,8.2,8.2,0.0,0.0,0.0,
31,Mira Costa,73482,76826,76826,78555,80912,77320,2.0,2.1,2.0,2.3,5.5,4.6,4.6,0.0,2.3,3.0,
32,Monterey Peninsula,54118,54659,56299,56299,61792,56633,2.0,2.1,2.0,2.3,5.5,1.0,1.0,3.0,0.0,9.8,
33,Mt. San Antonio,65837,67622,67622,69827,71441,68470,2.0,2.1,2.0,2.3,5.5,2.7,2.7,0.0,3.3,2.3,
34,Mt. San Jacinto,53936,56094,57776,57776,60088,57134,2.0,2.1,2.0,2.3,5.5,4.0,4.0,3.0,0.0,4.0,
35,Napa Valley,52131,52131,53174,53174,54769,53076,2.0,2.1,2.0,2.3,5.5,0.0,0.0,2.0,0.0,3.0,
36,North Orange County,67137,67137,67137,70830,76421,69732,2.0,2.1,2.0,2.3,5.5,0.0,0.0,0.0,5.5,7.9,
37,Ohlone,66970,68786,68786,71046,74649,70047,2.0,2.1,2.0,2.3,5.5,2.7,2.7,0.0,3.3,5.1,
38,Palo Verde,54661,57018,59618,60393,64240,59186,2.0,2.1,2.0,2.3,5.5,4.3,4.3,4.6,1.3,6.4,
39,Palomar,62005,63686,65762,65762,69096,65262,2.0,2.1,2.0,2.3,5.5,2.7,2.7,3.3,0.0,5.1,
40,Pasadena Area,68804,72082,74245,74245,78009,73477,2.0,2.1,2.0,2.3,5.5,4.8,4.8,3.0,0.0,5.1,
41,Peralta,41263,40793,42122,42122,44229,42106,2.0,2.1,2.0,2.3,5.5,-1.1,-1.1,3.3,0.0,5.0,
42,Rancho Santiago,59559,62839,65353,67967,70685,65281,2.0,2.1,2.0,2.3,5.5,5.5,5.5,4.0,4.0,4.0,
43,Redwoods,50266,51271,51271,51271,56817,52179,2.0,2.1,2.0,2.3,5.5,2.0,2.0,0.0,0.0,10.8,
44,Rio Hondo,57679,59242,61766,62384,66171,61448,2.0,2.1,2.0,2.3,5.5,2.7,2.7,4.3,1.0,6.1,
45,Riverside,61182,64097,68860,68860,72351,67070,2.0,2.1,2.0,2.3,5.5,4.8,4.8,7.4,0.0,5.1,
46,San Bernardino,52447,57964,68843,68843,68843,63388,2.0,2.1,2.0,2.3,5.5,10.5,10.5,18.8,0.0,0.0,
47,San Diego,57549,57836,58838,58838,60329,58678,2.0,2.1,2.0,2.3,5.5,0.5,0.5,1.7,0.0,2.5,
48,San Francisco,58499,61200,63700,65900,65900,63040,2.0,2.1,2.0,2.3,5.5,4.6,4.6,4.1,3.5,0.0,
49,San Joaquin Delta,57017,57017,59013,60783,63372,59440,2.0,2.1,2.0,2.3,5.5,0.0,0.0,3.5,3.0,4.3,
50,San Jose/Evergreen,67236,73052,74878,74878,81767,74362,2.0,2.1,2.0,2.3,5.5,8.7,8.7,2.5,0.0,9.2,
51,San Luis Obispo County,52056,55016,57057,57057,59665,56170,2.0,2.1,2.0,2.3,5.5,5.7,5.7,3.7,0.0,4.6,
52,San Mateo County,68568,71328,71328,77964,78372,73512,2.0,2.1,2.0,2.3,5.5,4.0,4.0,0.0,9.3,0.5,
53,Santa Barbara,58944,63071,63071,63071,63071,62246,2.0,2.1,2.0,2.3,5.5,7.0,7.0,0.0,0.0,0.0,
54,Santa Clarita,59556,62160,64116,64116,67368,63463,2.0,2.1,2.0,2.3,5.5,4.4,4.4,3.2,0.0,5.1,
55,Santa Monica,54900,55998,55998,58259,59133,56858,2.0,2.1,2.0,2.3,5.5,2.0,2.0,0.0,4.0,1.5,
56,Sequoias,60840,64795,67387,68735,71484,66648,2.0,2.1,2.0,2.3,5.5,6.5,6.5,4.0,2.0,4.0,
57,Shasta-Tehama-Trinity Joint,53710,53710,55590,55590,59203,55561,2.0,2.1,2.0,2.3,5.5,0.0,0.0,3.5,0.0,6.5,
58,Sierra Joint,53206,53206,55334,55334,56994,54815,2.0,2.1,2.0,2.3,5.5,0.0,0.0,4.0,0.0,3.0,
59,Siskiyou Joint,52865,52865,52865,54451,55268,53663,2.0,2.1,2.0,2.3,5.5,0.0,0.0,0.0,3.0,1.5,
60,Solano County,49966,53699,53699,55109,57904,54075,2.0,2.1,2.0,2.3,5.5,7.5,7.5,0.0,2.6,5.1,
61,Sonoma County,68869,66407,72924,73372,78113,71937,2.0,2.1,2.0,2.3,5.5,-3.6,-3.6,9.8,0.6,6.5,
62,South Orange County,71768,73714,75814,78028,78612,75587,2.0,2.1,2.0,2.3,5.5,2.7,2.7,2.9,2.9,0.8,
63,Southwestern,55178,57670,60127,60127,63776,59376,2.0,2.1,2.0,2.3,5.5,4.5,4.5,4.3,0.0,6.1,
64,State Center,59477,59477,61261,61720,64849,61357,2.0,2.1,2.0,2.3,5.5,0.0,0.0,3.0,0.8,5.1,
65,Ventura County,48751,48751,52711,52711,53766,51338,2.0,2.1,2.0,2.3,5.5,0.0,0.0,8.1,0.0,2.0,
66,Victor Valley,52383,53955,55714,55714,55714,54696,2.0,2.1,2.0,2.3,5.5,3.0,3.0,3.3,0.0,0.0,
67,West Hills,59064,60665,60665,60665,62203,60652,2.0,2.1,2.0,2.3,5.5,2.7,2.7,0.0,0.0,2.5,
68,West Kern,54682,56163,57994,59340,61162,57868,2.0,2.1,2.0,2.3,5.5,2.7,2.7,3.3,2.3,3.1,
69,West Valley-Mission,63860,67053,70406,73926,77622,70573,2.0,2.1,2.0,2.3,5.5,5.0,5.0,5.0,5.0,5.0,
70,Yosemite,55384,61125,61125,61366,62910,60382,2.0,2.1,2.0,2.3,5.5,10.4,10.4,0.0,0.4,2.5,
71,Yuba,54727,56772,56772,58623,61595,57698,2.0,2.1,2.0,2.3,5.5,3.7,3.7,0.0,3.3,5.1,
72,Average,58254,60109,61923,62816,65160,61652,2.0,2.1,2.0,2.3,5.5,3.2,3.2,3.1,1.4,3.7,
73,Average (East Bay),57471,57808,59809,61174,62934,59839,2.0,2.1,2.0,2.3,5.5,0.4,0.4,3.6,2.1,3.0,
