,Name,Salary1,Salary2,Salary3,Salary4,Salary5,Average Salary,Inflation (2018),Inflation (2019),Inflation (2020),Inflation (2021),Inflation (2022),Average Salary Raise,Average Salary Raise (2018),Average Salary Raise (2019),Average Salary Raise (2020),Average Salary Raise (2021)
0,Allan Hancock Joint,56628,58294,59460,60411,61619,59282.4,1.95,2.13,1.99,2.34,5.5,2.9420074874620328,2.94,2.0,1.6,2.0
1,Antelope Valley,56126,56126,58394,59562,59562,57954.0,1.95,2.13,1.99,2.34,5.5,0.0,0.0,4.04,2.0,0.0
2,Barstow,54324,57397,59268,59268,59268,57905.0,1.95,2.13,1.99,2.34,5.5,5.656799941094175,5.66,3.26,0.0,0.0
3,Butte,54073,56777,58628,58628,63566,58334.4,1.95,2.13,1.99,2.34,5.5,5.000647273130768,5.0,3.26,0.0,8.42
4,Cabrillo,56151,57499,59000,59000,62138,58757.6,1.95,2.13,1.99,2.34,5.5,2.400669622980891,2.4,2.61,0.0,5.32
5,Cerritos,64818,67871,70084,70084,70084,68588.2,1.95,2.13,1.99,2.34,5.5,4.710111388811749,4.71,3.26,0.0,0.0
6,Chabot-Las Positas,62035,62035,65137,66440,67769,64683.2,1.95,2.13,1.99,2.34,5.5,0.0,0.0,5.0,2.0,2.0
7,Chaffey,59581,66000,68700,68700,71496,66895.4,1.95,2.13,1.99,2.34,5.5,10.773568755140062,10.77,4.09,0.0,4.07
8,Citrus,61547,63393,64661,64661,65954,64043.2,1.95,2.13,1.99,2.34,5.5,2.9993338424293627,3.0,2.0,0.0,2.0
9,Coast,57335,59463,61997,61997,65141,61186.6,1.95,2.13,1.99,2.34,5.5,3.7115200139530824,3.71,4.26,0.0,5.07
10,Compton,59503,59503,59503,60431,62880,60364.0,1.95,2.13,1.99,2.34,5.5,0.0,0.0,0.0,1.56,4.05
11,Contra Costa,59616,59616,63192,65088,65088,62520.0,1.95,2.13,1.99,2.34,5.5,0.0,0.0,6.0,3.0,0.0
12,Copper Mountain,50307,52068,52068,52068,53239,51950.0,1.95,2.13,1.99,2.34,5.5,3.500506887709464,3.5,0.0,0.0,2.25
13,Desert,64723,66477,68644,68644,72125,68122.6,1.95,2.13,1.99,2.34,5.5,2.710010351806931,2.71,3.26,0.0,5.07
14,El Camino,66598,68403,68403,68403,73328,69027.0,1.95,2.13,1.99,2.34,5.5,2.710291600348359,2.71,0.0,0.0,7.2
15,Feather River,54041,55949,58490,58490,62377,57869.4,1.95,2.13,1.99,2.34,5.5,3.530652652615607,3.53,4.54,0.0,6.65
16,Foothill-DeAnza,60121,60121,63728,63728,63728,62285.2,1.95,2.13,1.99,2.34,5.5,0.0,0.0,6.0,0.0,0.0
17,Gavilan,61170,62394,64109,64109,64109,63178.2,1.95,2.13,1.99,2.34,5.5,2.0009808729769496,2.0,2.75,0.0,0.0
18,Glendale,61868,64033,65634,65634,68916,65217.0,1.95,2.13,1.99,2.34,5.5,3.4993857890993727,3.5,2.5,0.0,5.0
19,Grossmont-Cuyamaca,51279,52817,54402,161852,163119,96693.8,1.95,2.13,1.99,2.34,5.5,2.9992784570681956,3.0,3.0,197.51,0.78
20,Hartnell,55146,55973,58772,59947,60546,58076.8,1.95,2.13,1.99,2.34,5.5,1.4996554600514995,1.5,5.0,2.0,1.0
21,Imperial,52802,56873,58727,59902,65892,58839.2,1.95,2.13,1.99,2.34,5.5,7.709935229726146,7.71,3.26,2.0,10.0
22,Kern,71210,73767,77278,77278,79596,75825.8,1.95,2.13,1.99,2.34,5.5,3.590787810700744,3.59,4.76,0.0,3.0
23,Lake Tahoe,54615,55079,54058,54869,55966,54917.4,1.95,2.13,1.99,2.34,5.5,0.8495834477707589,0.85,-1.85,1.5,2.0
24,Lassen,56328,58757,60672,60672,63748,60035.4,1.95,2.13,1.99,2.34,5.5,4.3122425791790935,4.31,3.26,0.0,5.07
25,Long Beach,67275,68284,69547,71467,72539,69822.4,1.95,2.13,1.99,2.34,5.5,1.4998141954663693,1.5,1.85,2.76,1.5
26,Los Angeles,58550,60130,62090,62090,65250,61622.0,1.95,2.13,1.99,2.34,5.5,2.6985482493595216,2.7,3.26,0.0,5.09
27,Los Rios,49505,46660,50262,51229,53162,50163.6,1.95,2.13,1.99,2.34,5.5,-5.746894253105747,-5.75,7.72,1.92,3.77
28,Marin,59064,65616,65616,67800,72168,66052.8,1.95,2.13,1.99,2.34,5.5,11.093051605038601,11.09,0.0,3.33,6.44
29,Mendocino-Lake,56513,56513,59056,60237,61442,58752.2,1.95,2.13,1.99,2.34,5.5,0.0,0.0,4.5,2.0,2.0
30,Merced,50868,55018,55018,55018,55018,54188.0,1.95,2.13,1.99,2.34,5.5,8.158370684909963,8.16,0.0,0.0,0.0
31,Mira Costa,73482,76826,76826,78555,80912,77320.2,1.95,2.13,1.99,2.34,5.5,4.550774339293977,4.55,0.0,2.25,3.0
32,Monterey Peninsula,54118,54659,56299,56299,61792,56633.4,1.95,2.13,1.99,2.34,5.5,0.9996673934735208,1.0,3.0,0.0,9.76
33,Mt. San Antonio,65837,67622,67622,69827,71441,68469.8,1.95,2.13,1.99,2.34,5.5,2.7112413992132085,2.71,0.0,3.26,2.31
34,Mt. San Jacinto,53936,56094,57776,57776,60088,57134.0,1.95,2.13,1.99,2.34,5.5,4.001038267576386,4.0,3.0,0.0,4.0
35,Napa Valley,52131,52131,53174,53174,54769,53075.8,1.95,2.13,1.99,2.34,5.5,0.0,0.0,2.0,0.0,3.0
36,North Orange County,67137,67137,67137,70830,76421,69732.4,1.95,2.13,1.99,2.34,5.5,0.0,0.0,0.0,5.5,7.89
37,Ohlone,66970,68786,68786,71046,74649,70047.4,1.95,2.13,1.99,2.34,5.5,2.711661938181275,2.71,0.0,3.29,5.07
38,Palo Verde,54661,57018,59618,60393,64240,59186.0,1.95,2.13,1.99,2.34,5.5,4.312032344816231,4.31,4.56,1.3,6.37
